url,performance,accessibility,best_practices,seo,pagespeed_link
Mobile - https://regalcars.com/,43.0,93.0,100.0,92.0,https://developers.google.com/speed/pagespeed/insights/?url=https://regalcars.com/&tab=mobile
Desktop - https://rockysautocredit.com/,60.0,97.0,100.0,100.0,https://developers.google.com/speed/pagespeed/insights/?url=https://rockysautocredit.com/&tab=desktop
Mobile - https://rockysautocredit.com/,48.0,97.0,100.0,100.0,https://developers.google.com/speed/pagespeed/insights/?url=https://rockysautocredit.com/&tab=mobile
Desktop - https://saberacceptance.com/,99.0,95.0,100.0,100.0,https://developers.google.com/speed/pagespeed/insights/?url=https://saberacceptance.com/&tab=desktop
Mobile - https://saberacceptance.com/,60.0,95.0,100.0,100.0,https://developers.google.com/speed/pagespeed/insights/?url=https://saberacceptance.com/&tab=mobile
Desktop - https://solutionsautogroup.com/,88.0,96.0,100.0,100.0,https://developers.google.com/speed/pagespeed/insights/?url=https://solutionsautogroup.com/&tab=desktop
Mobile - https://solutionsautogroup.com/,76.0,97.0,100.0,100.0,https://developers.google.com/speed/pagespeed/insights/?url=https://solutionsautogroup.com/&tab=mobile
Desktop - https://square1autosales.com/,82.0,96.0,100.0,100.0,https://developers.google.com/speed/pagespeed/insights/?url=https://square1autosales.com/&tab=desktop
Mobile - https://square1autosales.com/,44.0,96.0,100.0,100.0,https://developers.google.com/speed/pagespeed/insights/?url=https://square1autosales.com/&tab=mobile
Desktop - https://sullivanmotorsnj.com/,96.0,97.0,100.0,92.0,https://developers.google.com/speed/pagespeed/insights/?url=https://sullivanmotorsnj.com/&tab=desktop
Mobile - https://sullivanmotorsnj.com/,66.0,97.0,100.0,92.0,https://developers.google.com/speed/pagespeed/insights/?url=https://sullivanmotorsnj.com/&tab=mobile
Desktop - https://superiorcarsonline.com/,98.0,93.0,100.0,100.0,https://developers.google.com/speed/pagespeed/insights/?url=https://superiorcarsonline.com/&tab=desktop
Mobile - https://superiorcarsonline.com/,75.0,92.0,100.0,100.0,https://developers.google.com/speed/pagespeed/insights/?url=https://superiorcarsonline.com/&tab=mobile
Desktop - https://topnotchusedcars.com/,99.0,97.0,100.0,100.0,https://developers.google.com/speed/pagespeed/insights/?url=https://topnotchusedcars.com/&tab=desktop
Mobile - https://topnotchusedcars.com/,83.0,97.0,100.0,100.0,https://developers.google.com/speed/pagespeed/insights/?url=https://topnotchusedcars.com/&tab=mobile
Desktop - https://vamosauto.us/,95.0,91.0,100.0,92.0,https://developers.google.com/speed/pagespeed/insights/?url=https://vamosauto.us/&tab=desktop
Mobile - https://vamosauto.us/,76.0,94.0,100.0,92.0,https://developers.google.com/speed/pagespeed/insights/?url=https://vamosauto.us/&tab=mobile
Desktop - https://25wautos.com/,94.0,86.0,100.0,92.0,https://developers.google.com/speed/pagespeed/insights/?url=https://25wautos.com/&tab=desktop
Mobile - https://25wautos.com/,82.0,86.0,100.0,92.0,https://developers.google.com/speed/pagespeed/insights/?url=https://25wautos.com/&tab=mobile
Desktop - https://865autos.com/,95.0,89.0,100.0,92.0,https://developers.google.com/speed/pagespeed/insights/?url=https://865autos.com/&tab=desktop
Mobile - https://865autos.com/,78.0,89.0,100.0,92.0,https://developers.google.com/speed/pagespeed/insights/?url=https://865autos.com/&tab=mobile
